batch:10  lambda:100
epoch,dis_loss,gan_mae,gan_entropy,vgan_mae,vgan_entropy
121,1.0517,3.277,3.02587,4.77186,4.80429
122,1.01623,2.95407,3.35425,4.09306,4.12002
123,0.772735,3.39786,3.32757,4.53522,4.55901
124,0.269326,2.67768,2.69616,4.80197,4.83849
125,0.724741,3.47977,3.13284,3.21212,3.25855
126,0.901117,3.19089,2.89128,3.74358,3.60463
127,0.637323,2.98585,3.03835,7.32931,7.36005
128,0.518442,3.28173,3.30529,4.54339,4.60109
129,1.12794,3.71023,3.49106,3.79365,4.00474
130,0.813206,3.06645,2.91831,3.96688,3.89004
131,0.842286,3.56924,3.59078,3.18916,3.2489
132,1.03461,3.53285,3.94904,3.09856,3.23003
133,0.528768,3.34537,3.49291,5.30796,5.29161
134,0.476384,2.61207,2.55618,3.39893,3.34621
135,1.05599,3.34281,3.54267,3.22988,3.07341
136,0.342169,2.75594,3.23936,4.71386,4.63665
137,0.548742,3.11712,2.83917,4.37654,4.45328
138,0.97613,3.58805,3.75382,4.84844,4.83198
139,0.604712,2.93434,2.8292,3.64855,3.68596
140,0.400379,3.27702,3.10965,3.17163,3.23409
141,0.74581,4.10142,4.34302,3.78468,3.63815
142,0.850643,3.48179,3.37424,5.82451,5.98885
143,0.76072,2.65407,2.84231,4.57274,4.64271
144,0.828486,3.92681,3.33624,3.9284,4.01874
145,0.45453,2.77941,2.77394,4.66029,4.59
146,0.200998,2.80719,2.72253,4.54966,4.5794
147,0.432361,3.66526,3.56735,3.31886,3.45192
148,0.494937,3.34028,3.11796,6.0799,6.19012
149,0.7654,2.29599,2.40113,4.31406,4.30822
150,0.85547,2.94606,2.98101,4.07563,4.16173
151,0.401944,2.67876,2.70448,4.47455,4.40176
152,1.04315,3.24027,3.22362,5.90293,5.81122
153,0.973694,3.04849,3.00688,4.0699,4.16428
154,0.609795,2.76711,2.91866,12.0145,11.9412
155,0.502452,2.92897,2.75698,6.27484,6.03779
156,0.282024,3.09689,3.17621,4.02826,4.0934
